CID,rank,n_in,ms,dg_2,dg_3,dg_in_2,bd_in_2,na_in_C4,na_ex_C4,na_ex_O2,na_ex_Si4,C4_2_C4_2_2,C4_2_C4_3_2,FC_2_C4_0_H1_1_/_1_/_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_/_/_0,LeafAC_C4_C4_1,LeafAC_C4_Si4_1,LeafAC_O2_C4_1
125,1,0.625,0.577094,0.65,0.5,0.65,1,0.666667,0,0,0,1,0.666667,1,0,1,0,0,0
127,0.5,0.208333,0.739153,0.25,0,0.25,0.333333,0.190476,0,0,0,0.5,0,0.4,0,0,0,0,0
128,0.5,0.208333,0.29011,0.25,0,0.25,0,0.190476,0,0,0,0,0,0,0,0,0,0,0
129,0,0.0833333,0.309375,0.1,0,0,0,0.0952381,0.111111,0.5,0,0,0,0,0,0,0,0,0
130,0.5,0.25,0.456463,0.3,0,0.3,0,0.190476,0,0,0,0,0,0,0,0,0,0,0
131,0,0.208333,0.354141,0.25,0,0.15,0,0.190476,0.111111,0.5,0,0,0,0,0,0,0,0,0
132,0,0.458333,0.392857,0.55,0,0.45,0,0.380952,0.111111,0.5,0,0,0,0,0,0,0,0,0
134,0,0.0416667,0.309375,0,0.25,0,0,0.047619,0.166667,0.5,0,0,0,0,0,0,0.125,0,0
135,0,0.125,0.275689,0.15,0,0.05,0,0.047619,0.222222,0,0,0,0,0,0,0,0.25,0,0
136,0,0.125,0.25119,0.1,0.25,0.05,0,0.047619,0.277778,0,0,0,0,0,0,0,0.375,0,0
137,0,0.291667,0.196429,0.3,0.25,0.25,0,0.238095,0.277778,0,0,0,0,0,0,0,0.375,0,0
138,0.5,0.25,0.456463,0.15,0.75,0.3,0,0.142857,0.166667,0,0,0,0,0,0,0,0.375,0,0
139,0,0.166667,0.324359,0.15,0.25,0,0,0.047619,0.333333,0,0,0,0,0.1,0,0,0.375,0,0
140,0,0.291667,0.300739,0.35,0,0.25,0,0.190476,0.222222,0,0,0,0,0,0,0,0.25,0,0
141,0.5,0.25,0.559821,0.25,0.25,0.3,0.5,0.285714,0.0555556,0.25,0,0.5,0.333333,0.5,0,0,0,0,0
142,0.5,0.291667,0.486591,0.3,0.25,0.25,0.5,0.285714,0.111111,0,0,0.5,0.333333,0.5,0,0.5,0.125,0,0
143,0.5,0.25,0.486591,0.2,0.5,0.3,0.5,0.285714,0.111111,0.25,0,0.25,0.666667,0.4,0,0,0.125,0,0
144,0.5,0.333333,0.54869,0.35,0.25,0.3,0.5,0.333333,0.111111,0,0,0.5,0.333333,0.5,0,0.5,0,0,0
145,0.5,0.333333,0.433333,0.35,0.25,0.3,0.5,0.333333,0.111111,0,0,0.5,0.333333,0.5,0,0.5,0.125,0,0
147,0,0.0416667,0.29011,0.05,0,0,0,0.047619,0.166667,0.25,0,0,0,0,0,0,0.125,0,0
148,0,0.0416667,0.47381,0.05,0,0,0,0.047619,0.166667,0.25,0,0,0,0,0,0,0.125,0,0
149,0,0.0416667,0.25372,0.05,0,0,0,0.047619,0.222222,0.25,0,0,0,0,0,0,0.25,0,0
150,0.5,0.208333,1,0.2,0.25,0.25,0.333333,0.190476,0.0555556,0.25,0,0.25,0.333333,0.3,0,0,0,0,0
151,0.5,0.25,0.742687,0.25,0.25,0.3,0.5,0.285714,0.0555556,0.25,0,0.5,0.333333,0.5,0,0,0,0,0
152,0.5,0.25,0.867778,0.2,0.5,0.3,0.5,0.285714,0.0555556,0.5,0,0.25,0.666667,0.4,0,0,0,0,0.5
154,0,0,0.29011,0,0,0,0,0,0.222222,0.25,0,0,0,0,0,0,0.25,0,0
155,0,0.0416667,0.228822,0.05,0,0,0,0.047619,0.277778,0.25,0,0,0,0,0,0,0.375,0,0
156,0,0.0416667,0.340476,0.05,0,0,0,0.047619,0.277778,0.25,0,0,0,0,0,0,0.375,0,0
157,0,0.0416667,0.348333,0.05,0,0,0,0.047619,0.277778,0.5,0,0,0,0,0,0,0.375,0,0.5
158,0,0.0833333,0.210714,0.1,0,0,0,0.0952381,0.277778,0.25,0,0,0,0,0,0,0.375,0,0
159,0,0.125,0.186139,0.1,0.25,0.05,0,0.142857,0.333333,0.25,0,0,0,0,0,0,0.5,0,0
160,0.5,0.208333,0.392857,0.2,0.25,0.25,0,0.238095,0,0.25,0,0,0,0,0,0,0,0,0
161,0.5,0.25,0.340476,0.25,0.25,0.3,0,0.285714,0,0.25,0,0,0,0,0,0,0,0,0
162,0.5,0.25,0.337202,0.15,0.5,0.3,0.166667,0.285714,0.166667,0.25,0,0,0.333333,0.1,0,0,0.375,0,0
167,0,0.0416667,0.456463,0.05,0,0,0,0.047619,0.166667,0.5,0,0,0,0,0,0,0.125,0,0.5
168,0,0,0.456463,0,0,0,0,0,0.222222,0.5,0,0,0,0,0,0,0.25,0,0.5
